code,trade_date,close,pred,hist_vol_60,bias_60,regime,cmf_20,boll_pctb_20,boll_width_20,obv,atr_pct_14,kdj_j,hist_vol_ratio,macd_hist_slope,obv_ma_ratio,main_flow_ratio,mfi_14,kdj_d,turn_rank_60,turn_ma_ratio,turn_zscore_20,turn_chg_5,breakout,pullback
600226,2026-07-22,5.66,0.3288960346906285,0.8838837258657861,-0.21074649076730312,-1,-0.1610231150408413,-0.1512692669314297,0.5904600278162289,4762291226.0,0.15307925287552862,0.10552345968659438,1.4004608313614455,-0.11602742489210444,-0.19261418360461346,-0.3203489657609771,16.031509975562585,10.404048587243857,0.0,0.0,0.0,-1.0,0,0
600714,2026-07-22,13.4,0.32540258205443745,1.0303498405072251,-0.4339542939452561,-1,-0.1881769676801125,-0.15559395365692172,0.7301476139896249,786948500.0,0.17515991469908182,5.725335673764249,1.3497836361596114,-0.33953704660968764,-0.08700273727415042,-0.32626668279297905,24.07066523264092,6.549289321338355,0.0,0.0,0.0,-1.0,0,0
000657,2026-07-22,58.11,0.3236038076631988,0.9027713609709518,-0.19578169439156645,-1,-0.1397624857100789,0.00124699793266615,0.6669980179562078,6963341199.0,0.1313027017702408,0.8666351961913179,1.1998715302811158,-0.5043680092483549,-0.037075404095537445,-0.45407226404952417,20.99312156899005,10.267991614325345,0.0,0.0,0.0,-1.0,0,0
002080,2026-07-22,50.08,0.31920410487074674,1.0406288831129547,-0.26971109258585113,-1,-0.18988508515013214,-0.15385066036578218,0.5593920002623888,1669795263.0,0.16567777270321846,1.4458739756463537,1.2806505921006184,-1.0255113596114835,-0.07890176463928233,-0.399616406537471,14.035284443529235,13.603267801550396,0.0,0.0,0.0,-1.0,0,0
002655,2026-07-22,26.63,0.3075038937364017,0.9477126648303514,-0.27091033540668275,-1,-0.15783330138704504,-0.0740885249126642,0.6197896435940133,1843650228.0,0.14401051445197108,4.826831672448815,1.243135227203318,-0.35911804809598613,-0.05308320125464783,-0.43404699402699526,20.573710497683592,12.907891541083023,0.0,0.0,0.0,-1.0,0,0
002297,2026-07-22,17.08,0.3069730143780264,0.9859618138072388,-0.2982600300212306,-1,-0.12634754073525012,-0.05484966198401276,0.6601442166566629,2211576157.0,0.14494814318321653,4.639060274130461,1.091483363341169,-0.21731748921671823,-0.125127122726584,-0.3671610227650259,19.494471164178535,12.388182587668583,0.0,0.0,0.0,-1.0,0,0
002222,2026-07-22,57.52,0.30373268670976533,0.868158162288751,-0.38563855353711085,-1,-0.19234998998754796,-0.0662897208471459,0.5537724173398886,2011649125.0,0.11923802900647065,1.2425544107971938,1.0842082486683031,-0.6770895142767905,-0.054531204325759086,-0.5166054588752818,26.59657421904633,13.214571789704177,0.0,0.0,0.0,-1.0,0,0
603011,2026-07-22,17.64,0.2983797534592361,0.9467623552498682,-0.3275559734938287,-1,-0.2768844590783857,-0.0007875406349131136,0.8018310934467862,3169367117.0,0.14961937154966518,1.0659111530274252,1.1268796396687728,-0.1563314715712183,-0.06071985717115047,-0.6045083827240568,33.875483927648744,8.368126709594721,0.0,0.0,0.0,-1.0,0,0
001267,2026-07-22,32.01,0.2959951422688409,0.9266350602782757,-0.4010556838075272,-1,-0.14087334154060402,0.008056412956581525,0.6987687491585972,2023285681.0,0.12152452358258282,5.996816945218864,1.117663636918549,-0.42539973658524843,-0.062334220988156996,-0.6049660286301978,15.66974344083448,15.48999028800907,0.0,0.0,0.0,-1.0,0,0
603256,2026-07-22,155.06,0.29402251963268783,1.0004853335037203,-0.1678068370192617,-1,-0.19597118160387647,-0.04607620931506014,0.6159409501786286,1100173083.0,0.14239649167972143,2.5998579762934995,1.115139474842835,-1.7386946084953063,-0.03842024731887195,-0.41608822713814353,13.998259376166402,11.931740526355863,0.0,0.0,0.0,-1.0,0,0
