code,period_end,avail_from,roe,net_profit_yoy,revenue_yoy,eps,eps_annualized,bvps,industry
688646,20240331,2024-04-01,0.48,82.55,4.6863127066,0.17,0.68,17.313997180699,自动化设备
688201,20240331,2024-04-01,-2.18,8.61,36.6676899049,-0.1384,-0.5536,6.200579068457,软件开发
300746,20240331,2024-04-01,0.21,-72.25,-24.4866490596,0.01,0.04,5.449200068054,工程咨询服务Ⅱ
600757,20240331,2024-04-01,2.85,-32.09,-4.994610479,0.22,0.88,7.686307879618,出版
900928,20240331,2024-04-01,1.07,-20.57,90.34607563,0.05,0.2,7.440897442963,房地产开发
600848,20240331,2024-04-01,1.07,-20.57,90.34607563,0.05,0.2,7.440897442963,房地产开发
601069,20240331,2024-04-01,0.73,155.984545376,49.8136226327,0.035,0.14,4.78549905414,贵金属
002306,20240331,2024-04-01,-105.35,51.02,-27.2821298192,-0.0174,-0.0696,0.019623433501,酒店餐饮
603226,20240331,2024-04-01,-1.23,8.9824252197,-33.4011086348,-0.03,-0.12,2.734577601614,家居用品
600368,20240331,2024-04-01,3.33,7.69,9.740457492,0.1325,0.53,5.263931083245,铁路公路
600455,20240331,2024-04-01,-0.6099,-448.14,12.0221735376,0.2368,0.9472,4.28018010423,软件开发
600252,20240331,2024-04-01,0.83,419.6336391819,13.5421911372,0.016,0.064,1.909796927257,中药Ⅱ
688132,20240331,2024-04-01,2.29,199.9,84.6756588306,0.23,0.92,10.182637120197,军工电子Ⅱ
600529,20240331,2024-04-01,2.89,32.59,-0.7526536159,0.33,1.32,11.68520770647,医疗器械
688511,20240331,2024-04-01,1.12,-45.36,-10.306688376,0.1218,0.4872,10.8169484665,军工电子Ⅱ
688316,20240331,2024-04-01,-4.32,83.5717234926,8.9884289194,-0.16,-0.64,3.601005162455,IT服务Ⅱ
301152,20240331,2024-04-01,-2.42,-9355.11,-24.5031119818,-0.38,-1.52,15.288836053576,电池
001266,20240331,2024-04-01,-0.34,-158.17,-20.0878376928,-0.03,-0.12,9.640362799277,自动化设备
301487,20240331,2024-04-01,0.15,-78.88,-42.7672703307,0.0065,0.026,4.28919780541,电池
300189,20240331,2024-04-01,-1.07,-151.82,27.6192118634,-0.0081,-0.0324,0.744887770801,种植业
301379,20240331,2024-04-01,1.93,-4.14,1.4895939888,0.1781,0.7124,13.048625907046,光学光电子
300831,20240331,2024-04-01,0.84,423.95,109.3102083877,0.0229,0.0916,2.72347215675,半导体
688270,20240331,2024-04-01,-0.27,-178.41,29.299151056,,,13.889297446532,半导体
874158,20240331,2024-04-01,2.81,,,0.08,0.32,3.050371419685,
874181,20240331,2024-04-01,10.18,,,0.26,1.04,2.531420118167,
874236,20240331,2024-04-01,1.4,,,0.08,0.32,4.2371169052,
874684,20240331,2024-04-01,4.75,,,0.26,1.04,,
832010,20240331,2024-04-01,2.8,,,0.15,0.6,,
874161,20240331,2024-04-01,1.34,,,0.1252,0.5008,,
874543,20240331,2024-04-01,,,,0.4,1.6,,
920179,20240331,2024-04-01,1.65,-8.67,39.5678026429,0.16,0.64,9.462931441467,半导体
874352,20240331,2024-04-01,3.1,,,0.2,0.8,,
400290,20240331,2024-04-01,-27.72,-106.92,-56.8020192981,-0.1356,-0.5424,0.421352986357,
002878,20240331,2024-04-01,1.84,439.71,33.1215791647,-0.04,-0.16,5.753478653133,广告营销
874382,20240331,2024-04-01,7.13,,,0.42,1.68,,
600463,20240331,2024-04-01,-0.53,84.9352699919,26.7892803333,-0.02,-0.08,3.5631707858,房地产开发
874718,20240331,2024-04-01,,,,0.18,0.72,,
920174,20240331,2024-04-01,5.23,10.54,9.2848166855,0.41,1.64,7.723285597957,基础建设
874386,20240331,2024-04-01,,,,0.7,2.8,,
600173,20240331,2024-04-01,0.81,-23.82,-63.2696683505,0.0516,0.2064,5.435334947007,房地产开发
920086,20240331,2024-04-01,3.4,157.1482829165,85.2844837455,0.27,1.08,8.029285284895,汽车零部件
688712,20240331,2024-04-01,,,,,,,医疗器械
601026,20240331,2024-04-01,,,,,,,风电设备
874022,20240331,2024-04-01,,,,0.13,0.52,,
301632,20240331,2024-04-01,,,,-0.03,-0.12,,专业服务
300500,20240331,2024-04-01,0.77,-55.4,2.6631313652,0.0536,0.2144,7.027857000082,工程咨询服务Ⅱ
920078,20240331,2024-04-01,,,,0.14,0.56,,金属新材料
603406,20240331,2024-04-01,3.84,,,0.33,1.32,,化学纤维
603376,20240331,2024-04-01,,,,,,,汽车零部件
874311,20240331,2024-04-01,,-23.50424749,12.5814632047,0.27,1.08,,
301491,20240331,2024-04-01,,,,0.46,1.84,,消费电子
920124,20240331,2024-04-01,,,,0.2421,0.9684,,通用设备
001221,20240331,2024-04-01,6.56,89.5998405768,41.4232636822,0.23,0.92,,家居用品
920168,20240331,2024-04-01,3.82,137.6678012034,22.6508467994,0.27,1.08,7.326193132849,汽车零部件
920158,20240331,2024-04-01,,,,-0.05,-0.2,,专用设备
600777,20240331,2024-04-01,3.0019,-3.47,6.6395831405,0.0901,0.3604,3.007417825954,油气开采Ⅱ
688765,20240331,2024-04-01,,,,,,,生物制品
603262,20240331,2024-04-01,4.99,,,0.11,0.44,,食品加工
301668,20240331,2024-04-01,,,,,,,电网设备
301609,20240331,2024-04-01,,4.4930946735,11.3524320207,0.12,0.48,,电网设备
603175,20240331,2024-04-01,,,,,,,元件
920045,20240331,2024-04-01,,,,0.33,1.32,,通信设备
300225,20240331,2024-04-01,0.32,176.2,-0.8597314614,0.0055,0.022,1.739157175472,化学制品
688813,20240331,2024-04-01,,,,,,,专用设备
300551,20240331,2024-04-01,-4.52,-174.74,-49.9273801979,-0.12,-0.48,2.578627764665,计算机设备
920126,20240331,2024-04-01,,,,0.2562,1.0248,,专用设备
874058,20240331,2024-04-01,7.25,,,0.7409,2.9636,,
874031,20240331,2024-04-01,1.79,30.86,6.9147925079,-0.03,-0.12,6.251311695355,
872709,20240331,2024-04-01,2.32,30.2036208887,51.5215355492,0.13,0.52,5.597410461982,
833070,20240331,2024-04-01,15.0,2093.8498484616,852.2854127012,0.81,3.24,5.822255098898,
603418,20240331,2024-04-01,,,,,,,汽车零部件
600930,20240331,2024-04-01,,-2.3788275732,14.1946249307,0.08,0.32,,电力
301680,20240331,2024-04-01,,,,,,,汽车零部件
301630,20240331,2024-04-01,5.27,,,1.16,4.64,,电子化学品Ⅱ
870355,20240331,2024-04-01,7.7,32.7627244223,0.674775606,0.31,1.24,4.317932055844,
603356,20240331,2024-04-01,-2.04,-191.4058370142,-20.7600301236,-0.1,-0.4,4.843953245463,专用设备
874774,20240331,2024-04-01,-0.01,,,0.0,0.0,,
873024,20240331,2024-04-01,,,,0.13,0.52,,
001235,20240331,2024-04-01,-0.01,,,0.0,0.0,,
874569,20240331,2024-04-01,,,,0.5316,2.1264,,
873864,20240331,2024-04-01,1.21,28.1738839895,-2.5111032648,0.03,0.12,2.128030529569,
920176,20240331,2024-04-01,1.66,,,0.22,0.88,,化妆品
874747,20240331,2024-04-01,1.66,,,0.22,0.88,,
874118,20240331,2024-04-01,,,,0.21,0.84,,
874114,20240331,2024-04-01,9.44,,,0.34,1.36,3.769892354801,
301656,20240331,2024-04-01,,,,,,,汽车零部件
920220,20240331,2024-04-01,,,,0.28,1.12,,汽车零部件
920211,20240331,2024-04-01,,,,0.38,1.52,,自动化设备
920091,20240331,2024-04-01,0.86,-70.1266417588,-59.6691681804,0.05,0.2,5.969409266505,专用设备
920079,20240331,2024-04-01,,,,0.24,0.96,,汽车零部件
874508,20240331,2024-04-01,3.48,,,0.31,1.24,,
874343,20240331,2024-04-01,,,,0.03,0.12,,
874239,20240331,2024-04-01,6.89,,,0.38,1.52,,
874075,20240331,2024-04-01,,,,0.24,0.96,,
603370,20240331,2024-04-01,,,,,,,电机Ⅱ
300964,20240331,2024-04-01,0.72,-1.93,-4.3904871388,0.09,0.36,12.963367257286,元件
920193,20240331,2024-04-01,3.82,,,0.19,0.76,,电池
920125,20240331,2024-04-01,,,,-0.2,-0.8,,自动化设备
920080,20240331,2024-04-01,3.84,521.8993887386,57.544424143,0.2,0.8,5.287390296167,专用设备
874251,20240331,2024-04-01,5.77,,,0.53,2.12,,
874242,20240331,2024-04-01,3.16,24.008198215,23.5532878884,0.24,0.96,7.762120871608,
688729,20240331,2024-04-01,1.9,,,0.04,0.16,,半导体
920011,20240331,2024-04-01,,,,0.15,0.6,,电机Ⅱ
874685,20240331,2024-04-01,2.17,,,0.12,0.48,5.583959156833,
874669,20240331,2024-04-01,,,,0.39,1.56,,
872824,20240331,2024-04-01,,,,0.05,0.2,,
430428,20240331,2024-04-01,,,,0.13,0.52,,
400251,20240331,2024-04-01,4.48,260.93,-2.7449131959,,,1.281860369204,
920189,20240331,2024-04-01,2.28,,,0.09,0.36,,电子化学品Ⅱ
920081,20240331,2024-04-01,,,,0.63,2.52,,小家电
874670,20240331,2024-04-01,,,,0.51,2.04,,
874668,20240331,2024-04-01,,,,0.29,1.16,,
874339,20240331,2024-04-01,2.59,27.55,6.1821020896,0.2737,1.0948,10.815773212687,
874200,20240331,2024-04-01,,,,0.09,0.36,,
873808,20240331,2024-04-01,,,,0.23,0.92,,
837291,20240331,2024-04-01,,,,0.56,2.24,,
920069,20240331,2024-04-01,,,,0.14,0.56,,医疗器械
874772,20240331,2024-04-01,,,,0.769,3.076,,
874617,20240331,2024-04-01,,,,0.04,0.16,,
874387,20240331,2024-04-01,3.52,,,0.4661,1.8644,,
873994,20240331,2024-04-01,5.16,,,0.08,0.32,,
603629,20240331,2024-04-01,1.99,127.12,-0.4067317815,0.13,0.52,6.385940815671,消费电子
874649,20240331,2024-04-01,,,,0.22,0.88,,
874573,20240331,2024-04-01,,,,0.14,0.56,,
874391,20240331,2024-04-01,,,,0.2282,0.9128,,
873254,20240331,2024-04-01,,,,0.14,0.56,,
301584,20240331,2024-04-01,,-4.4332234626,27.7020581169,,,,医药商业
920238,20240331,2024-04-01,,,,0.15,0.6,,通用设备
