date,code,kind,vol60,vol_pct,r1,r3,r5,r10,r20
2024-09-26,000001,breakout,0.0146414881079324,0.05478569126651627,0.026198331069280156,0.16786338055501648,0.10440520085387162,0.10149427517950715,0.0461866873665826
2024-09-26,000002,breakout,0.02685720904836419,0.7238156622623267,0.09950248756218905,0.29104477611940327,0.13432835820895517,0.14552238805970164,0.1542288557213931
2024-09-26,000031,breakout,0.024168893764445656,0.5942636158556236,0.051724137931034475,0.16551724137931045,0.0620689655172415,0.02758620689655178,0.14482758620689662
2024-09-26,000166,breakout,0.0172699103320821,0.16564614888817272,0.07591733445803461,0.30577815267819486,0.13918177983973012,0.05482918599746944,0.10333192745676945
2024-09-26,000419,breakout,0.01657318710270351,0.12407347728005157,0.016771488469601747,0.11740041928721179,0.03983228511530412,0.008385744234800763,0.07547169811320753
2024-09-26,000498,breakout,0.014765042860791782,0.0573638414437641,0.01870557426112973,0.15525626636737755,0.09726898615787505,0.05237560793116347,0.1664796109240554
2024-09-26,000631,breakout,0.017821068840803336,0.20206252014179826,0.027559055118110187,0.14960629921259838,0.03149606299212593,0.023622047244094446,0.16141732283464583
2024-09-26,000686,breakout,0.019362075991264088,0.2958427328391879,0.09379727685325268,0.33131618759455383,0.14674735249621773,0.08018154311649006,0.26021180030257174
2024-09-26,000776,breakout,0.014764231656907791,0.05704157267160812,0.09459459459459452,0.33408408408408397,0.18468468468468457,0.11261261261261257,0.1719219219219219
2024-09-26,000783,breakout,0.020521481199497323,0.3635191749919433,0.10327022375215167,0.3407917383821,0.15490533562822728,0.07401032702237531,0.1910499139414803
2024-09-26,000797,breakout,0.023931507265748952,0.5749274895262649,0.050505050505050386,0.11784511784511764,0.013468013468013407,0.0,0.047138047138046923
2024-09-26,000869,breakout,0.017730579334494394,0.19593941347083468,0.04194857916102834,0.17004961659900752,0.09111411817771753,0.020748759585024645,0.020748759585024645
2024-09-26,000895,breakout,0.017839045646672564,0.20367386400257814,0.031011045029736728,0.07901444350042475,0.01741716227697543,-0.013169073916737384,-0.002548853016142716
2024-09-26,001227,breakout,0.011838201797606508,0.007089912987431518,0.008775778850373062,0.16235190873190009,0.057042562527424234,0.026327336551118963,0.048266783677051395
2024-09-26,001323,breakout,0.01453835078850778,0.050918466000644536,0.038129553373455805,0.14182768451061145,0.06042128603104202,0.06873614190687372,0.2898717136522013
2024-09-26,002016,breakout,0.029331461683101794,0.8121173058330647,-0.013853904282115859,0.01385390428211597,-0.05163727959697739,-0.11838790931989929,-0.128463476070529
2024-09-26,002027,breakout,0.025338786135758982,0.6571060264260393,0.042444821731748794,0.2003395585738541,0.14091680814940588,0.11884550084889645,0.1578947368421053
2024-09-26,002133,breakout,0.02482021871462327,0.6300354495649372,0.05391953546246375,0.12442969722107011,0.008295313148071415,-0.020738282870178315,0.06636250518457087
2024-09-26,002188,breakout,0.023741845397665825,0.5626812761843377,0.0379464285714286,0.125,-0.0044642857142858094,-0.006696428571428603,0.08258928571428559
2024-09-26,002233,breakout,0.01723428404950785,0.16242346116661296,0.01130422495407668,0.09467288399039142,0.02826056238519148,-0.001413028119259585,0.046629927935565973
2024-09-26,002352,breakout,0.017717270803283638,0.19465033838221077,0.055398766593498516,0.10687780913556999,0.028483328107034467,0.036584091146649955,0.10713912407233206
2024-09-26,002507,breakout,0.020607421438804206,0.3693200128907509,0.04166666666666674,0.13030303030303036,0.06287878787878798,-0.005303030303030143,0.08712121212121215
2024-09-26,002568,breakout,0.02976849453834931,0.823074444086368,0.09414611055593536,0.22090148845526736,0.12202177457529051,0.07047809393572813,0.09414611055593536
2024-09-26,002673,breakout,0.016680622691250344,0.13051885272317112,0.10212765957446801,0.33758865248226955,0.1744680851063829,0.11347517730496448,0.14609929078014194
2024-09-26,002797,breakout,0.016870358389887166,0.1408314534321624,0.10197027307293483,0.3370203940546146,0.13480815762184584,0.0881437953681301,0.47182855167646043
2024-09-26,002807,breakout,0.01583356026536287,0.09539155655816951,0.005479452054794498,0.1315068493150684,0.0547945205479452,0.05205479452054784,0.019178082191780854
