variant,n,fwd20,fwd20_win,fwd10,fwd10_win,fwd5_win,fwd3_win,fwd1_win
baseline(突破∪回踩),686,0.030416044193551015,0.5058309037900874,0.014196342928372109,0.48104956268221577,0.5102040816326531,0.49854227405247814,0.5422740524781341
breakout_only(仅突破),316,0.059248301351612194,0.6170886075949367,0.029728583469634216,0.5506329113924051,0.5506329113924051,0.5632911392405063,0.6613924050632911
pullback_only(仅回踩-原始),370,0.005791738080179848,0.41081081081081083,0.0009309699255644691,0.42162162162162165,0.4756756756756757,0.44324324324324327,0.44054054054054054
improved(回踩+低波动≤0.33),369,0.053002181657623985,0.5934959349593496,0.026508999811244795,0.5392953929539296,0.5420054200542005,0.5501355013550135,0.6233062330623306
  pullback+低波动≤0.33(自身),53,0.015761166123656557,0.4528301886792453,0.007312991583866379,0.4716981132075472,0.49056603773584906,0.4716981132075472,0.39622641509433965
improved(回踩+低波动≤0.5),406,0.05037327166678056,0.5886699507389163,0.02462509250314906,0.5320197044334976,0.5344827586206896,0.5566502463054187,0.6157635467980296
  pullback+低波动≤0.5(自身),90,0.019212056328927255,0.4888888888888889,0.006706168665267816,0.4666666666666667,0.4777777777777778,0.5333333333333333,0.45555555555555555
improved(回踩+低波动≤0.67),488,0.042260812441385846,0.5512295081967213,0.020211595789956103,0.5225409836065574,0.5348360655737705,0.5368852459016393,0.5922131147540983
  pullback+低波动≤0.67(自身),172,0.011051239792365332,0.43023255813953487,0.002726897494733514,0.47093023255813954,0.5058139534883721,0.4883720930232558,0.46511627906976744
