factor,IC,Q_low_mean,Q_high_mean,actionable_LS,actionable_win_rate,direction
hist_vol_60,-0.123064447950121,0.010573187533552669,0.015026506112651982,0.035600247855302636,0.622621240024555,做多低值(Q1)
hist_vol_20,-0.1208601635539865,0.011968851069097387,0.013334993801458663,0.023049155547660807,0.6014007308160779,做多低值(Q1)
atr_pct_14,-0.1201725362462974,0.012395639515698815,0.015181155840342186,0.027935806567090504,0.6173384030418251,做多低值(Q1)
boll_width_20,-0.0819724208112972,0.012431114692739803,0.015688053319065257,0.01632613258444514,0.5630994063023291,做多低值(Q1)
hist_vol_ratio,-0.043229527804472,0.01738786376753002,0.008723163507869504,-0.00017850184005360637,0.5356046654389196,做多低值(Q1)
obv_ma_ratio,-0.0333891804930096,0.015049927778307224,0.013870360134209198,0.005377420880407649,0.5165169736641803,做多低值(Q1)
obv,-0.024075475689642,0.01807744821728399,0.008669437713333715,0.007439968973912057,0.5130540376442015,做多低值(Q1)
cmf_20,-0.014017594516362,0.017527801349047398,0.01111910495679735,0.007556436451188818,0.5282386969097275,做多低值(Q1)
