序号,调仓日,代码,名称行业,买入价,投入资金,前向收益%,持有天数,退出原因,退出日,盈亏元,账户净值,备注
1,2025-06-27,,,,,,,,,,100000.0,无合格标的(候选0)
2,2025-07-04,600016,高股息精选,4.892,33333.33,2.88,3,Adaptive_RSI(83),2025-07-09,959.83,102592.95,等权1/3仓
3,2025-07-04,600919,其它,11.995,33333.33,-2.3,2,Adaptive_MA5,2025-07-08,-766.88,102592.95,等权1/3仓
4,2025-07-04,601398,其它,7.444,33333.33,7.2,5,Adaptive_TP(6%),2025-07-11,2400.0,102592.95,等权1/3仓
5,2025-07-11,,,,,,,,,,102592.95,无合格标的(候选0)
6,2025-07-18,600895,其它,26.99,34197.65,5.2,5,Adaptive_TP(2%),2025-07-25,1778.28,107862.83,等权1/3仓
7,2025-07-18,000792,盐湖提锂,18.11,34197.65,3.01,5,Time_Exit,2025-07-25,1029.37,107862.83,等权1/3仓
8,2025-07-18,600309,其它,59.72,34197.65,7.2,5,Adaptive_TP(2%),2025-07-25,2462.23,107862.83,等权1/3仓
9,2025-07-25,002371,国家大基金持股,341.96,107862.83,-2.78,4,Adaptive_MA5,2025-07-31,-2995.18,104867.65,等权1/1仓
10,2025-08-01,002437,仿制药一致性评价,4.04,34955.88,-4.8,1,Adaptive_SL(4%),2025-08-04,-1677.88,101064.28,等权1/3仓
11,2025-08-01,002439,华为欧拉,16.65,34955.88,-1.28,4,Adaptive_MA5,2025-08-07,-447.6,101064.28,等权1/3仓
12,2025-08-01,600481,其它,6.13,34955.88,-4.8,4,Adaptive_SL(4%),2025-08-07,-1677.88,101064.28,等权1/3仓
13,2025-08-08,002008,光纤概念,30.8,50532.14,5.2,1,Adaptive_TP(2%),2025-08-11,2627.67,107330.27,等权1/2仓
14,2025-08-08,600884,其它,11.11,50532.14,7.2,4,Adaptive_TP(2%),2025-08-14,3638.31,107330.27,等权1/2仓
15,2025-08-15,600839,其它,10.46,107330.27,5.2,2,Adaptive_TP(2%),2025-08-19,5581.17,112911.44,等权1/1仓
16,2025-08-22,603893,其它,196.02,37637.15,5.2,3,Adaptive_TP(2%),2025-08-27,1957.13,116856.04,等权1/3仓
17,2025-08-22,000021,存储芯片,21.44,37637.15,-1.92,3,Adaptive_MA5,2025-08-27,-722.41,116856.04,等权1/3仓
18,2025-08-22,600460,其它,29.38,37637.15,7.2,1,Adaptive_TP(8%),2025-08-25,2709.87,116856.04,等权1/3仓
19,2025-08-29,600392,其它,27.15,58428.02,-4.8,1,Adaptive_SL(4%),2025-09-01,-2804.54,111246.95,等权1/2仓
20,2025-08-29,603920,其它,39.37,58428.02,-4.8,2,Adaptive_SL(4%),2025-09-02,-2804.54,111246.95,等权1/2仓
21,2025-09-05,601929,其它,5.45,37082.32,-0.43,1,Adaptive_Bias(28%),2025-09-08,-160.58,107526.47,等权1/3仓
22,2025-09-05,002459,硅能源,14.01,37082.32,-4.8,3,Adaptive_SL(4%),2025-09-10,-1779.95,107526.47,等权1/3仓
23,2025-09-05,600601,PCB概念,9.64,37082.32,-4.8,1,Adaptive_SL(4%),2025-09-08,-1779.95,107526.47,等权1/3仓
24,2025-09-12,603228,其它,68.97,107526.47,6.2,2,Adaptive_TP(8%),2025-09-16,6666.64,114193.11,等权1/1仓
25,2025-09-19,601888,其它,73.72,57096.55,-4.8,2,Adaptive_SL(4%),2025-09-23,-2740.63,112027.47,等权1/2仓
26,2025-09-19,600031,其它,21.582,57096.55,1.01,5,Time_Exit,2025-09-26,575.0,112027.47,等权1/2仓
27,2025-09-26,,,,,,,,,,112027.47,无合格标的(候选0)
28,2025-10-13,002460,盐湖提锂,69.75,37342.49,-2.56,1,Adaptive_Bias(25%),2025-10-14,-957.25,107485.34,等权1/3仓
29,2025-10-13,000681,快手概念,24.93,37342.49,-4.8,4,Adaptive_SL(4%),2025-10-17,-1792.44,107485.34,等权1/3仓
30,2025-10-13,603799,其它,70.48,37342.49,-4.8,1,Adaptive_SL(4%),2025-10-14,-1792.44,107485.34,等权1/3仓
31,2025-10-20,,,,,,,,,,107485.34,无合格标的(候选0)
32,2025-10-27,603160,其它,86.45,107485.34,-3.44,3,Adaptive_MA5,2025-10-30,-3694.66,103790.68,等权1/1仓
33,2025-11-03,600515,其它,5.39,34596.89,-0.06,1,Adaptive_Bias(20%),2025-11-04,-20.03,100449.35,等权1/3仓
34,2025-11-03,000933,俄乌冲突概念,26.14,34596.89,-4.8,1,Adaptive_SL(4%),2025-11-04,-1660.65,100449.35,等权1/3仓
35,2025-11-03,000807,俄乌冲突概念,24.29,34596.89,-4.8,2,Adaptive_SL(4%),2025-11-05,-1660.65,100449.35,等权1/3仓
36,2025-11-10,,,,,,,,,,100449.35,无合格标的(候选0)
37,2025-11-17,002756,锂电池概念,56.28,33483.12,-4.8,1,Adaptive_SL(4%),2025-11-18,-1607.19,99645.76,等权1/3仓
38,2025-11-17,002466,盐湖提锂,62.2,33483.12,-4.8,1,Adaptive_SL(4%),2025-11-18,-1607.19,99645.76,等权1/3仓
39,2025-11-17,002512,其它,5.9,33483.12,7.2,1,Adaptive_TP(4%),2025-11-18,2410.78,99645.76,等权1/3仓
40,2025-11-24,000547,军工信息化,13.64,99645.76,5.2,1,Adaptive_TP(8%),2025-11-25,5181.58,104827.34,等权1/1仓
41,2025-12-01,000547,军工信息化,14.86,52413.67,6.2,1,Adaptive_TP(2%),2025-12-02,3249.65,105561.13,等权1/2仓
42,2025-12-01,601872,其它,9.66,52413.67,-4.8,1,Adaptive_SL(4%),2025-12-02,-2515.86,105561.13,等权1/2仓
43,2025-12-08,603933,其它,31.55,105561.13,-4.8,1,Adaptive_SL(4%),2025-12-09,-5066.93,100494.19,等权1/1仓
44,2025-12-15,000592,福建自贸区,14.81,50247.1,6.2,1,Adaptive_TP(8%),2025-12-16,3115.32,103934.13,等权1/2仓
45,2025-12-15,601318,其它,67.08,50247.1,0.65,2,Adaptive_RSI(83),2025-12-17,324.61,103934.13,等权1/2仓
46,2025-12-22,600693,其它,18.74,34644.71,5.2,1,Adaptive_TP(8%),2025-12-23,1801.52,102409.76,等权1/3仓
47,2025-12-22,601231,其它,28.99,34644.71,-4.8,1,Adaptive_SL(4%),2025-12-23,-1662.95,102409.76,等权1/3仓
48,2025-12-22,002792,6G概念,35.35,34644.71,-4.8,1,Adaptive_SL(4%),2025-12-23,-1662.95,102409.76,等权1/3仓
49,2025-12-29,600343,其它,46.94,34136.59,3.06,1,Adaptive_Bias(31%),2025-12-30,1043.21,104592.37,等权1/3仓
50,2025-12-29,000592,福建自贸区,16.2,34136.59,2.9,1,Adaptive_Bias(24%),2025-12-30,991.23,104592.37,等权1/3仓
51,2025-12-29,600862,其它,24.31,34136.59,0.43,5,Time_Exit,2026-01-07,148.17,104592.37,等权1/3仓
52,2026-01-07,000657,PCB概念,32.0,52296.18,-4.8,1,Adaptive_SL(4%),2026-01-08,-2510.22,100371.87,等权1/2仓
53,2026-01-07,002851,中国AI50,99.58,52296.18,-3.27,4,Adaptive_MA5,2026-01-13,-1710.28,100371.87,等权1/2仓
54,2026-01-14,,,,,,,,,,100371.87,无合格标的(候选0)
55,2026-01-21,600988,其它,38.39,50185.93,5.2,3,Adaptive_TP(2%),2026-01-26,2609.67,100572.61,等权1/2仓
56,2026-01-21,600418,其它,52.45,50185.93,-4.8,3,Adaptive_SL(4%),2026-01-26,-2408.92,100572.61,等权1/2仓
57,2026-01-28,603993,其它,26.88,50286.31,6.2,1,Adaptive_TP(8%),2026-01-29,3117.75,107310.98,等权1/2仓
58,2026-01-28,600111,稀土永磁,52.89,50286.31,7.2,1,Adaptive_TP(2%),2026-01-29,3620.61,107310.98,等权1/2仓
59,2026-02-04,002506,HJT电池,3.78,107310.98,6.2,1,Adaptive_TP(2%),2026-02-05,6653.28,113964.26,等权1/1仓
60,2026-02-11,600188,煤炭概念,16.65,113964.26,4.37,1,Adaptive_Bias(19%),2026-02-12,4974.73,118938.99,等权1/1仓
61,2026-02-26,600893,其它,59.68,59469.49,-4.8,1,Adaptive_SL(4%),2026-02-27,-2854.54,114102.71,等权1/2仓
62,2026-02-26,600550,其它,17.77,59469.49,-3.33,2,Adaptive_MA5,2026-03-02,-1981.74,114102.71,等权1/2仓
63,2026-03-05,600550,其它,19.03,114102.71,-4.8,4,Adaptive_SL(4%),2026-03-11,-5476.93,108625.78,等权1/1仓
64,2026-03-12,,,,,,,,,,108625.78,无合格标的(候选0)
65,2026-03-19,,,,,,,,,,108625.78,无合格标的(候选0)
66,2026-03-26,,,,,,,,,,108625.78,无合格标的(候选0)
67,2026-04-02,,,,,,,,,,108625.78,无合格标的(候选0)
68,2026-04-10,603538,其它,49.59,108625.78,-4.8,1,Adaptive_SL(4%),2026-04-13,-5214.04,103411.75,等权1/1仓
69,2026-04-17,,,,,,,,,,103411.75,无合格标的(候选0)
70,2026-04-24,,,,,,,,,,103411.75,无合格标的(候选0)
71,2026-05-06,603538,其它,68.5,34470.58,-4.8,1,Adaptive_SL(4%),2026-05-07,-1654.59,99156.95,等权1/3仓
72,2026-05-06,002364,中国AI50,44.77,34470.58,-2.74,4,Adaptive_MA5,2026-05-12,-945.62,99156.95,等权1/3仓
73,2026-05-06,002812,钠离子电池,87.55,34470.58,-4.8,2,Adaptive_SL(4%),2026-05-08,-1654.59,99156.95,等权1/3仓
74,2026-05-13,603629,其它,172.71,33052.32,-2.14,1,Adaptive_Bias(33%),2026-05-14,-706.49,98913.19,等权1/3仓
75,2026-05-13,603986,其它,364.25,33052.32,6.2,3,Adaptive_TP(2%),2026-05-18,2049.24,98913.19,等权1/3仓
76,2026-05-13,002463,PCB概念,112.58,33052.32,-4.8,1,Adaptive_SL(4%),2026-05-14,-1586.51,98913.19,等权1/3仓
77,2026-05-20,,,,,,,,,,98913.19,无合格标的(候选0)
78,2026-05-27,,,,,,,,,,98913.19,无合格标的(候选0)
79,2026-06-03,600188,煤炭概念,25.97,98913.19,6.2,1,Adaptive_TP(2%),2026-06-04,6132.62,105045.81,等权1/1仓
80,2026-06-10,603859,其它,57.65,52522.9,-4.8,1,Adaptive_SL(4%),2026-06-11,-2521.1,101823.62,等权1/2仓
81,2026-06-10,603663,其它,74.79,52522.9,-1.33,1,Adaptive_Bias(27%),2026-06-11,-701.09,101823.62,等权1/2仓
82,2026-06-17,000636,超级电容,74.06,33941.21,-0.07,1,Adaptive_Bias(30%),2026-06-18,-24.05,102382.78,等权1/3仓
